Size;C time;Python time
1;3e-06;2.002716064453125e-05
2;3e-06;1.6927719116210938e-05
4;2e-06;2.09808349609375e-05
8;4e-06;8.177757263183594e-05
16;3e-06;3.409385681152344e-05
32;5e-06;6.604194641113281e-05
64;1.1e-05;0.0002639293670654297
128;2e-05;0.0006182193756103516
256;5e-05;0.0005402565002441406
512;9e-05;0.0012607574462890625
1024;0.000196;0.0027310848236083984
2048;0.000372;0.006804943084716797
4096;0.000811;0.014764070510864258
8192;0.001591;0.02820611000061035
16384;0.003476;0.05730915069580078
32768;0.00629;0.1478898525238037
65536;0.012788;0.24141693115234375
131072;0.028925;0.5135059356689453
262144;0.055916;1.1155850887298584
524288;0.111155;2.0665221214294434
1048576;0.219976;4.41825795173645
2097152;0.491725;10.389513969421387
4194304;0.954912;19.741071939468384
8388608;2.145837;41.55577111244202
16777216;4.062533;86.10627794265747
33554432;8.169145;179.5933849811554
67108864;16.881771;361.8881530761719
